timestamp,sumOpenInterest,sumOpenInterestValue
1715374800000,72426.74700000,4381544821.05458600
1715375100000,72435.90300000,4384600265.01343400
1715375400000,72431.95600000,4383248790.12240000
1715375700000,72421.60700000,4378697265.14840000
1715376000000,72379.89100000,4378532497.77227700
1715376300000,72349.87900000,4384301377.56940000
1715376600000,72337.12700000,4379398174.27050000
1715376900000,72194.59900000,4375139720.37269200
1715377200000,72008.02000000,4373608717.15600000
1715377500000,71879.43600000,4352428326.39014300
1715377800000,71912.46100000,4357637761.21603600
1715378100000,71928.41800000,4361091911.75800000
1715378400000,71944.79900000,4366876631.78240000
1715378700000,71722.84700000,4353524104.74656400
1715379000000,71694.92200000,4355251815.20863300
1715379300000,71638.31600000,4356089589.51720000
1715379600000,71572.98300000,4356231450.90136700
1715379900000,71601.27600000,4350125135.10099500
1715380200000,71650.95500000,4348506588.66753300
1715380500000,71659.82500000,4353383644.28217300
1715380800000,71665.71200000,4349678166.05061700
1715381100000,71662.01200000,4352648748.19086300
1715381400000,71640.96700000,4355887390.54398700
1715381700000,71668.88600000,4359245657.17280000
1715382000000,71698.07100000,4361411868.20595900
1715382300000,71732.65700000,4369072602.67459800
1715382600000,71776.43900000,4373259474.18710000
1715382900000,71804.64100000,4374763201.58217500
1715383200000,71793.91300000,4374424840.56740100
1715383500000,71845.80200000,4375732647.90900000
1715383800000,71846.71100000,4373944579.92708400
1715384100000,71873.08400000,4377895502.65825200
1715384400000,71916.35400000,4383100410.50880000
1715384700000,71952.93700000,4385423842.02072400
1715385000000,71863.26400000,4374987962.28390300
1715385300000,71859.11900000,4373145034.68402800
1715385600000,71763.43300000,4361645107.21730000
1715385900000,71748.93800000,4364667270.88500000
1715386200000,71744.35900000,4361368857.85252700
1715386500000,71636.46600000,4357975754.52360000
1715386800000,71660.24800000,4361905822.98470000
1715387100000,71688.97600000,4363989929.99787300
1715387400000,71686.06100000,4361279004.55617300
1715387700000,71654.37500000,4355353544.75000000
1715388000000,71651.94100000,4349574973.41044300
1715388300000,71651.19000000,4348406664.77013100
1715388600000,71572.22900000,4345708285.97620000
1715388900000,71567.32800000,4349005452.18986200
1715389200000,71592.79100000,4349823678.89282900
1715389500000,71608.35700000,4355609487.52180600
1715389800000,71637.68300000,4359616441.83423200
1715390100000,71399.03700000,4357567332.63062400
1715390400000,71450.09800000,4361625814.47142900
1715390700000,71474.12500000,4356233560.15000000
1715391000000,71483.07200000,4354198941.03550150
1715391300000,71475.95500000,4348525626.24500000
1715391600000,71484.06600000,4347682339.33980000
1715391900000,71475.27200000,4350793287.17124300
1715392200000,71463.94900000,4348133327.67350200
1715392500000,71438.98200000,4345743053.97558300
1715392800000,71426.90600000,4345913999.61367800
1715393100000,71419.91200000,4344399294.93358200
1715393400000,71449.80900000,4345084379.69790000
1715393700000,71468.09700000,4342030782.53392000
1715394000000,71466.10200000,4341415617.68580000
1715394300000,71432.24800000,4340387682.65040000
1715394600000,71420.56000000,4339941748.96000000
1715394900000,71422.75500000,4343267482.31132300
1715395200000,71408.56700000,4346657268.20349600
1715395500000,71426.22800000,4350390667.90306300
1715395800000,71433.28600000,4349512436.83278750
1715396100000,71489.28600000,4349814927.17916900
1715396400000,71482.17500000,4350636735.66419200
1715396700000,71479.06800000,4347993321.79639500
1715397000000,71447.68600000,4345731191.68700700
1715397300000,71405.75100000,4342317944.41007800
1715397600000,71390.01900000,4344125490.16140000
1715397900000,71370.49700000,4343098848.91070100
1715398200000,71373.71900000,4341469312.69236700
1715398500000,71387.92500000,4341482518.51762000
1715398800000,71388.76200000,4335161100.08820000
1715399100000,71378.99600000,4337076336.27679000
1715399400000,71407.44400000,4335117547.61755850
1715399700000,71405.41200000,4335165373.34400000
1715400000000,71425.13700000,4335934366.72200000
1715400300000,71414.43600000,4340979691.45643600
1715400600000,71400.75200000,4337495844.48056200
1715400900000,71368.26500000,4336057445.16650000
1715401200000,71376.31300000,4334697763.75260000
1715401500000,71380.83200000,4336012256.67347400
1715401800000,71375.01200000,4333619503.59440000
1715402100000,71356.76200000,4335361542.97124600
1715402400000,71327.31700000,4335089191.26787500
1715402700000,71337.71000000,4335121298.99000000
1715403000000,71308.99800000,4335223402.51020000
1715403300000,71267.74300000,4333337638.55523400
1715403600000,71195.85600000,4324538768.00849900
1715403900000,71212.09900000,4327843088.96984700
1715404200000,71205.53800000,4330678097.83720000
1715404500000,71187.87600000,4331778812.84274100
1715404800000,71167.67700000,4331721625.33007800
1715405100000,71198.31500000,4332702261.01000000
1715405400000,71190.70800000,4333898088.12840000
1715405700000,71227.04500000,4335127835.80241500
1715406000000,71227.58500000,4335039032.75300000
1715406300000,71223.20000000,4332322075.68000000
1715406600000,71204.05900000,4333779628.01775300
1715406900000,71199.41100000,4334548942.26900000
1715407200000,71223.50000000,4337788921.65000000
1715407500000,71207.11300000,4335943524.79600000
1715407800000,71226.64200000,4340121956.20023200
1715408100000,71235.64600000,4338280121.27146150
1715408400000,71239.69400000,4340861096.63674100
1715408700000,71253.63400000,4341998074.22005100
1715409000000,71249.22000000,4342958059.48027400
1715409300000,71308.92800000,4350058534.78400000
1715409600000,71288.58700000,4348828142.07171500
1715409900000,71276.34600000,4344767288.02749700
1715410200000,71284.84700000,4340718009.60240000
1715410500000,71288.93600000,4341795615.93120000
1715410800000,71339.32500000,4346376911.35500000
1715411100000,71315.66000000,4344656980.69000000
1715411400000,71320.15800000,4343237330.48437900
1715411700000,71259.23000000,4337438144.47521300
1715412000000,71198.50000000,4334308365.40000000
1715412300000,71192.41000000,4333517264.65174800
1715412600000,71186.79600000,4336094699.74399300
1715412900000,71189.00600000,4337373720.82131000
1715413200000,71190.81400000,4334145303.91103800
1715413500000,71174.23800000,4336048457.74080000
1715413800000,71175.65800000,4335088684.24020000
1715414100000,71142.75300000,4334934254.27370000
1715414400000,71107.33300000,4336794839.06438400
